,job title,company name,avg salary,city,state,education,technical skills,soft skills,business skills
73,Data Scientist,Burlington Stores,110000.0,Edgewater Park,NJ,"[""Master's degree"", ""Bachelor's degree""]","['Power BI', 'Data mining', 'Data structures', 'R', 'Data analysis skills', 'Tableau', 'SQL', 'ETL', 'Predictive analytics', 'Data warehouse', 'Python']",['Communication skills'],[]
74,Data Scientist,CEDENT,117500.0,Atlanta,GA,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy']","['Power BI', 'D3.js', 'SAS', 'Spark', 'R', 'QlikView', 'Tableau', 'SQL', 'Machine learning', 'JavaScript', 'SPSS', 'Python', 'Analytics', 'Hadoop']",[],['AWS']
75,Data Scientist,COOP by Ryder,87500.0,Remote,Remote,"[""Master's degree"", ""Bachelor's degree"", 'Master of Business Administration']","['Power BI', 'R', 'Google Tag Manager', 'Tableau', 'SQL', 'Analysis skills', 'Google Analytics', 'Python', 'Analytics']",['Leadership'],['Google Cloud Platform']
76,Data Scientist,CarePoint Health,105000.0,Denver,CO,"[""Master's degree"", ""Bachelor's degree""]","['Power BI', 'Data modeling', 'Business intelligence', 'Computer Science', 'Tableau', 'SQL', 'Database management', 'PostgreSQL', 'ETL', 'Predictive analytics', 'Python', 'PowerShell', 'Analytics']",['Communication skills'],"['Azure', 'Google Cloud Platform', 'AWS']"
77,Data Scientist,Caterpillar,90000.0,Peoria,IL,"[""Master's degree"", ""Bachelor's degree""]","['Pricing', 'Power BI', 'Economics', 'Business intelligence', 'Statistics', 'R', 'Git', 'SQL', 'JavaScript', 'Python', 'Analytics']",[],[]
78,Data Scientist,Chewy,115500.0,Hollywood,FL,"['Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']","['SAS', 'R', 'Data analysis skills', 'E-commerce', 'SQL', 'Machine learning', 'Scala', 'Deep learning', 'Data collection', 'Redshift', 'Python']",['Communication skills'],['AWS']
79,Data Scientist,Chewy,128500.0,Boston,MA,"['Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']","['E-commerce', 'Machine learning', 'Forecasting', 'Regression analysis', 'AI']","['Leadership', 'Communication skills']",['AWS']
80,Data Scientist,Christus Health,112500.0,Irving,TX,"[""Master's degree"", ""Master's degree""]","['Data mining', 'SAS', 'Machine learning', 'Debugging', 'Analytics', 'Data mining', 'SAS', 'Machine learning', 'Debugging', 'Analytics']",[],[]
81,Data Scientist,ClearChoice Dental Implant Centers,90000.0,Greenwood Village,CO,"['Bachelor of Science', ""Master's degree"", ""Bachelor's degree""]","['Statistics', 'Power BI', 'Data lake', 'DevOps', 'R', 'Tableau', 'SQL', 'Database management', 'Machine learning', 'Scala', 'Data science', 'Data visualization', 'Python', 'Analytics']","['Organizational skills', 'Communication skills']","['Jira', 'Azure']"
82,Data Scientist,Creative Financial Staffing,85000.0,Edgerton,OH,"['Bachelor of Science', ""Bachelor's degree""]","['Microsoft Excel', 'Microsoft Access', 'Data analysis skills', 'SQL', 'Accounting']",[],[]
