job title,company name,location,salary,skills
Cloud Security Engineer,"LS Technologies, LLC - 3.8","Washington, DC","$85,000 - $175,000 a year",DevOps
Cloud Security Engineer,"LS Technologies, LLC - 3.8","Washington, DC","$85,000 - $175,000 a year",Bachelor's degree
Application Security Engineer,RX Saving Solution -,"Overland Park, KS","Estimated: $79,000 - $110,000 a year",Dart
Application Security Engineer,RX Saving Solution -,"Overland Park, KS","Estimated: $79,000 - $110,000 a year",GWEB
Application Security Engineer,RX Saving Solution -,"Overland Park, KS","Estimated: $79,000 - $110,000 a year",Relational databases
Application Security Engineer,RX Saving Solution -,"Overland Park, KS","Estimated: $79,000 - $110,000 a year",Azure
Application Security Engineer,RX Saving Solution -,"Overland Park, KS","Estimated: $79,000 - $110,000 a year",IDS
Application Security Engineer,RX Saving Solution -,"Overland Park, KS","Estimated: $79,000 - $110,000 a year",Bachelor's degree
Applications Security Analyst (Secret Clearance),OPEXUS - 3.3,"Washington, DC","Estimated: $93,000 - $140,000 a year",Splunk
Applications Security Analyst (Secret Clearance),OPEXUS - 3.3,"Washington, DC","Estimated: $93,000 - $140,000 a year",Analysis skills
Applications Security Analyst (Secret Clearance),OPEXUS - 3.3,"Washington, DC","Estimated: $93,000 - $140,000 a year",Azure
Applications Security Analyst (Secret Clearance),OPEXUS - 3.3,"Washington, DC","Estimated: $93,000 - $140,000 a year",Windows
Applications Security Analyst (Secret Clearance),OPEXUS - 3.3,"Washington, DC","Estimated: $93,000 - $140,000 a year",FedRAMP
Applications Security Analyst (Secret Clearance),OPEXUS - 3.3,"Washington, DC","Estimated: $93,000 - $140,000 a year",Bachelor of Science
Applications Security Analyst (Secret Clearance),OPEXUS - 3.3,"Washington, DC","Estimated: $93,000 - $140,000 a year",Bachelor's degree
"Senior Software Engineer, Full Stack - Cyber (Remote - Eligible)",Capital One - 3.9,"Richmond, VA",null,CSS
"Senior Software Engineer, Full Stack - Cyber (Remote - Eligible)",Capital One - 3.9,"Richmond, VA",null,Azure
"Senior Software Engineer, Full Stack - Cyber (Remote - Eligible)",Capital One - 3.9,"Richmond, VA",null,SQL
"Senior Software Engineer, Full Stack - Cyber (Remote - Eligible)",Capital One - 3.9,"Richmond, VA",null,Node.js
"Senior Software Engineer, Full Stack - Cyber (Remote - Eligible)",Capital One - 3.9,"Richmond, VA",null,NoSQL
