web-scraper-order,web-scraper-start-url,links,links-href,pages,pages-href,job title,skills,salary
1676423233-674,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/rc/clk?cmp=Consumr-Buzz-%7C-Digital-Marketing&ti=Social+Media+Specialist&jk=4d57f82d77ddab11&fccid=cdfefad8fc1a6090&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,Apache Hive,$16 - $20 an hour
1676423236-675,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/company/BLAQUE-KC/jobs/Marketing-Specialist-c0d27a660d26c9cb?fccid=addcf06af089d612&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Marketing,"$37,000 - $42,000 a year"
1676423236-676,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/company/BLAQUE-KC/jobs/Marketing-Specialist-c0d27a660d26c9cb?fccid=addcf06af089d612&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Digital marketing,"$37,000 - $42,000 a year"
1676423236-677,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/company/BLAQUE-KC/jobs/Marketing-Specialist-c0d27a660d26c9cb?fccid=addcf06af089d612&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Adobe Creative Suite,"$37,000 - $42,000 a year"
1676423236-678,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/company/BLAQUE-KC/jobs/Marketing-Specialist-c0d27a660d26c9cb?fccid=addcf06af089d612&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Google AdWords,"$37,000 - $42,000 a year"
1676423239-679,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Product Marketing Specialist,https://www.indeed.com/rc/clk?jk=0e811c2e0a1f662b&fccid=a5ade73218fa56c5&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Product Marketing Specialist,Marketing,null
1676423239-680,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Product Marketing Specialist,https://www.indeed.com/rc/clk?jk=0e811c2e0a1f662b&fccid=a5ade73218fa56c5&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Product Marketing Specialist,Salesforce,null
1676423239-681,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Product Marketing Specialist,https://www.indeed.com/rc/clk?jk=0e811c2e0a1f662b&fccid=a5ade73218fa56c5&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Product Marketing Specialist,Forecasting,null
1676423241-682,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Paid Media Specialist – Social Media & SEM,https://www.indeed.com/rc/clk?jk=8ea37489507196c6&fccid=dfd5262ab382014b&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Paid Media Specialist – Social Media & SEM,Facebook Advertising,"$55,000 - $65,000 a year"
1676423241-683,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Paid Media Specialist – Social Media & SEM,https://www.indeed.com/rc/clk?jk=8ea37489507196c6&fccid=dfd5262ab382014b&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Paid Media Specialist – Social Media & SEM,Social media management,"$55,000 - $65,000 a year"
