job title,salary,Min Salary,Max Salary,skills
Tech Bus Analyst Sr- Tech Bus Analyst Prin (Energy Delivery Outage),0,0,0,"['Requirements gathering', 'Jira', 'Waterfall', 'Business analysis', 'Scrum', ""Bachelor's degree"", 'High school diploma or GED', ""Associate's degree"", ""Master's degree""]"
Technical Implementation Project Manager - Payments - Associate,0,0,0,"['Project management', 'APIs', 'ERP systems', 'Business analysis', 'Microsoft Office']"
Trailer Reviewer,0,0,0,[nan]
Turf Extrusion Test - K,0,0,0,[nan]
Turf Extrusion Tester - L,0,0,0,[nan]
Turf Extrusion Tester - M,0,0,0,[nan]
Workflow Controller (B2),0,0,0,[nan]
ERP Analyst,$100 - $110 an hour,100 , 110,"['Requirements gathering', 'Microsoft Excel', 'ERP systems', 'Business analysis', 'Microsoft Powerpoint', ""Bachelor's degree""]"
Business Analyst,"$100,000 - $105,000 a year",100000 , 105000,"['JD Edwards', 'Communication skills', 'Bachelor of Science', ""Bachelor's degree""]"
Business Analyst,"$100,000 - $110,000 a year",100000 , 110000,"['Power BI', 'JD Edwards', 'Manufacturing', 'SQL', 'ERP systems', ""Bachelor's degree""]"
Senior Business Applications Analyst,"$100,000 - $125,000 a year",100000 , 125000,"['ERP systems', 'Application support', 'Oracle EBS', 'IT', 'Oracle', ""Bachelor's degree"", ""Master's degree""]"
IT Business Analyst,"$102,000 - $135,000 a year",102000 , 135000,"['Business analysis', 'Software development', ""Bachelor's degree""]"
IT Business Analyst,"$105,000 - $120,000 a year",105000 , 120000,"['PMP', 'Scrum', 'LMS', 'Microsoft Project', 'Communication skills', ""Master's degree""]"
Business Analyst,"$105,000 - $155,000 a year",105000 , 155000,"['SQL', 'Data governance', 'Workday', 'Tableau', 'OBIEE', ""Bachelor's degree""]"
ERP Analyst,"$107,700 - $123,850 a year",107700 , 123850,"['Writing skills', 'Industrial construction', 'Analysis skills', 'Customer service', 'SQL', ""Bachelor's degree""]"
IT Business Analyst,"$110,000 - $120,000 a year",110000 , 120000,"['Accounting', 'Manufacturing', 'Microsoft Excel', 'SAP', 'ERP systems', ""Bachelor's degree"", ""Master's degree""]"
Business Systems Analyst,"$110,000 - $120,000 a year",110000 , 120000,"['SQL', 'Oracle EBS', 'Oracle', 'PL/SQL', ""Bachelor's degree""]"
Business Analyst,"$110,000 - $160,000 a year",110000 , 160000,"['Supply chain', 'SAP', 'Business analysis', 'SAP Supply Chain Management']"
Business Analyst,"$117,200 - $195,330 a year",117200 , 195330,"['Supply chain', 'SQL', 'Microsoft Excel', 'Demand planning', 'Oracle', ""Bachelor's degree"", ""Master's degree"", 'Master of Business Administration']"
"Mgr., Finance/Business Analysis (Hybrid)","$118,000 - $145,200 a year",118000 , 145200,"['Analysis skills', 'Microsoft Excel', 'Tableau', 'Sales', 'Financial acumen', ""Bachelor's degree""]"
Business Systems Analyst,"$12,000 - $84,000 a year",12000 , 84000,"['Analysis skills', 'Bank Secrecy Act', 'Communication skills', 'SDLC', 'Oracle', ""Bachelor's degree""]"
IT Business Analyst,"$120,000 - $150,000 a year",120000 , 150000,"['Analysis skills', 'Business process modeling', 'ERP systems', 'Business analysis', 'SAP ERP', ""Bachelor's degree""]"
IT Business Analyst,"$120,000 a year",120000,0,"['Azure', 'PMP', 'Microsoft Excel', 'SAP', 'ERP systems', ""Bachelor's degree""]"
Business Systems Analyst,"$125,000 - $140,000 a year",125000 , 140000,"['Requirements gathering', 'Cognos', 'Payroll', 'ERP systems', 'System design', ""Bachelor's degree"", 'Master of Business Administration', ""Associate's degree"", ""Master's degree""]"
1st Shift- Fabrication Tech 1 -Welder,$13 an hour,13,0,[nan]
ERP Analyst,"$130,000 - $170,000 a year",130000 , 170000,"['Power BI', 'Confluence', 'Manufacturing', 'SQL', 'Oracle EBS', ""Bachelor's degree""]"
Junior Technician,$14 - $18 an hour,14 , 18,[nan]
Business Analyst,"$140,000 - $160,000 a year",140000 , 160000,"['Power BI', 'Data modeling', 'SQL', 'Predictive analytics', 'ERP systems', ""Bachelor's degree""]"
IT Business Analyst,"$140,000 a year",140000,0,"['Business requirements', 'ERP systems', 'SAP Finance & Controlling', ""Bachelor's degree""]"
Picker/Packer 3rd Shift $15.50 an hour,$15.50 - $16.00 an hour,15.50 , 16.00,[nan]
Materials Operator,$15.50 - $18.00 an hour,15.50 , 18.00,[nan]
"HOSE TECHNICIAN - GEISMAR/BATON ROUGE, LA",$16 - $20 an hour,16 , 20,[nan]
"HOSE TECHNICIAN - Lafayette, LA",$16 - $20 an hour,16 , 20,[nan]
2nd Shift Assembler,$16.50 - $17.25 an hour,16.50 , 17.25,['Manufacturingmissing qualification']
Press Operator,$16.50 - $18.50 an hour,16.50 , 18.50,[nan]
1st & 2nd Shift Receiving Specialist,$17 - $19 an hour,17 , 19,[nan]
Materials Associate,$17 - $20 an hour,17 , 20,[nan]
Assembler,$17.70 an hour,17.70,0,['Assemblymissing qualification']
Group Finance Director,"$178,400 - $280,390 a year",178400 , 280390,"['Microsoft Excel', 'Microsoft Powerpoint', 'Leadership', 'Communication skills', 'CPA', ""Bachelor's degree"", 'Master of Business Administration', ""Master's degree""]"
Business Analyst,$18 - $20 an hour,18 , 20,"['Microsoft Excel', 'Sales', 'ERP systems', 'Microsoft Office', 'SAP ERP', ""Bachelor's degree"", 'Bachelor of Arts']"
Supply Chain Assistant,$18 - $20 an hour,18 , 20,[nan]
Stockroom/Purchasing Associate,$18.50 - $22.00 an hour,18.50 , 22.00,[nan]
Material Handler - Forklift - Weekly Pay!,$19 an hour,19,0,[nan]
Advanced Customer Service Specialist,$20 - $24 an hour,20 , 24,[nan]
Project Coordinator,$20 - $25 an hour,20 , 25,[nan]
Help Desk Specialist,$21.66 an hour,21.66,0,[nan]
Accountant,$21.74 - $26.18 an hour,21.74 , 26.18,[nan]
IT Business Analyst,$25 - $30 an hour,25 , 30,"['Project management', 'Payroll', 'ERP systems', 'Business analysis', 'Human resources', ""Bachelor's degree""]"
IT Business Analyst,$25 an hour,25,0,[nan]
Data Analyst,"$3,553 - $5,240 a month",3553 , 5240 a month,[nan]
Business Analyst,"$3,732 - $5,996 a month",3732 , 5996 a month,"['Analysis skills', 'Research', 'ERP systems', 'Ellucian', 'Communication skills']"
Operations Analyst,$30.00 - $43.09 an hour,30.00 , 43.09,"['Analysis skills', 'Research', 'Budgeting', 'PeopleSoft', 'GAAP', ""Bachelor's degree"", 'High school diploma or GED']"
Business Analyst,$32.89 - $41.93 an hour,32.89 , 41.93,"['Relational databases', 'Data modeling', 'SQL', 'ERP systems', 'Database design', ""Bachelor's degree"", ""Master's degree""]"
Business Analyst,$35 - $40 an hour,35 , 40,"['Analysis skills', 'Power BI', 'Workday', 'Microsoft Excel', 'ERP systems', ""Bachelor's degree""]"
IT Business Analyst,$35.49 an hour,35.49,0,[nan]
Customer Relations Specialist,"$36,000 - $40,000 a year",36000 , 40000,[nan]
Financial Analyst,$37 - $47 an hour,37 , 47,"['Accounting', 'Analysis skills', 'SAP S/4HANA', 'Microsoft Excel', 'ERP systems']"
Programmer/Analyst,"$39,000 - $49,000 a year",39000 , 49000,"['CSS', 'Relational databases', 'SQL', 'Computer skills', 'ERP systems', ""Bachelor's degree""]"
Financial Analyst,$40 - $43 an hour,40 , 43,"['Accounting', 'Microsoft Excel', 'Tableau', 'Business analysis', 'Hyperion', ""Bachelor's degree""]"
Business Analyst,$40 - $45 an hour,40 , 45,"['Power BI', 'SQL', 'ERP systems', 'Business analysis', 'NetSuite']"
E-Commerce Web Developer,"$40,000 - $60,000 a year",40000 , 60000,[nan]
Project Analyst/Estimator,"$41,816 - $60,000 a year",41816 , 60000,"['Forklift', 'Accounting', 'Manufacturing', 'Microsoft Excel', 'ERP systems', ""Bachelor's degree""]"
Business Systems Analyst,"$45,000 - $60,000 a year",45000 , 60000,"['Bank Secrecy Act', 'ERP systems', 'SaaS', 'Communication skills', 'IT', ""Bachelor's degree""]"
Full Stack Engineer,"$45,000 - $60,000 a year",45000 , 60000,[nan]
Business Analyst,"$45,000 - $65,000 a year",45000 , 65000,"['Accounting', 'Analysis skills', 'Yardi', 'Microsoft Excel', 'ERP systems', ""Bachelor's degree""]"
IT Business Analyst,"$45,000 - $75,000 a year",45000 , 75000,"['Warehouse experience', 'Warehouse distribution', 'Manufacturing', 'SQL', 'Microsoft Excel', ""Bachelor's degree""]"
Supply Chain Coordinator,"$48,808 - $60,000 a year",48808 , 60000,[nan]
ERP Analyst,$49.90 - $125.15 an hour,49.90 , 125.15,"['Requirements gathering', 'ERP systems', 'Microsoft Powerpoint', 'Oracle EBS', 'Visio', ""Bachelor's degree""]"
Business Analyst,$50 - $60 an hour,50 , 60,"['User acceptance testing', 'Warehouse experience', 'Requirements gathering', 'SQL', 'Jira', ""Bachelor's degree""]"
Business Systems Analyst,"$50,000 - $58,000 a year",50000 , 58000,"['Analysis skills', 'Database management', 'Workday', 'Systems analysis', 'ServiceNow', ""Bachelor's degree"", ""Master's degree""]"
ERP Analyst,"$50,000 - $60,000 a year",50000 , 60000,[nan]
Business Systems Analyst,"$50,000 - $80,000 a year",50000 , 80000,"['ERP systems', 'FDA regulations', 'Communication skills', 'VPN', 'Crystal Reports', ""Bachelor's degree""]"
Business Analyst,"$50,000 - $90,000 a year",50000 , 90000,"['SQL', 'Kanban', 'ERP systems', 'Scrum', 'Mobile applications', ""Bachelor's degree""]"
Business Process Analyst,"$50,560 a year",50560,0,"['Ellucian', 'Enterprise software', 'ERP systems', 'Business analysis', ""Bachelor's degree"", ""Master's degree""]"
Strategic Sourcing Specialist II,"$52,500 - $100,000 a year",52500 , 100000,"['Change management', 'Accounting', 'Microsoft Excel', 'ERP systems', 'Contracts', 'High school diploma or GED']"
Business and Reporting Analyst,"$54,000 - $94,000 a year",54000 , 94000,"['Power BI', 'Data modeling', 'SQL', 'Microsoft Excel', 'ERP systems', ""Bachelor's degree""]"
Accountant,"$54,000 a year",54000,0,[nan]
Business Systems Analyst,"$55,000 - $65,000 a year",55000 , 65000,"['Microsoft Excel', 'ERP systems', 'Systems analysis', 'Communication skills']"
Operations Analyst,"$55,000 - $80,000 a year",55000 , 80000,"['Warehouse experience', 'Power BI', 'SQL', 'Microsoft Excel', 'Warehouse management system']"
Business Systems Analyst,"$56,425 - $127,734 a year",56425 , 127734,"['ERP systems', 'Communication skills', 'ITIL', 'Project management', 'Analysis skills', 'Bachelor of Science', ""Bachelor's degree""]"
ERP Analyst,"$57,108 - $105,984 a year",57108 , 105984,"['SQL', 'Database development', 'ERP systems', 'Systems analysis', 'Software troubleshooting', ""Bachelor's degree""]"
Business Analyst,"$57,505 - $70,724 a year",57505 , 70724,"['SQL', 'Microsoft Excel', 'ERP systems', 'Ellucian', 'Canvas', ""Bachelor's degree"", ""Associate's degree""]"
Business Analyst,"$57,606 - $83,548 a year",57606 , 83548,"[""Driver's License"", ""Bachelor's degree"", ""Associate's degree""]"
Business Systems Analyst,"$58,298 - $61,575 a year",58298 , 61575,"['Relational databases', 'SQL', 'Payroll', 'Software troubleshooting', 'Communication skills', ""Associate's degree""]"
Business Systems Analyst,"$59,319 - $84,845 a year",59319 , 84845,"['Microsoft Excel', ""Driver's License"", 'ERP systems', 'Systems analysis', 'Data collection', ""Bachelor's degree""]"
Business Information Analyst,"$59,723 a year",59723,0,"[""Bachelor's degree""]"
Manufacturing Engineer - Hanover,"$60,000 - $70,000 a year",60000 , 70000,[nan]
Implementation Developer MS Dynamics CRM (FT),"$60,000 - $75,000 a year",60000 , 75000,"['Requirements gathering', 'Citrix', 'Project management', 'Relational databases', 'SQL', ""Bachelor's degree""]"
Business Analyst,"$60,000 - $80,000 a year",60000 , 80000,"['SQL', 'ERP systems', 'Communication skills', 'Writing skills', 'ITIL', ""Bachelor's degree""]"
Business Analyst,"$60,000 - $80,000 a year",60000 , 80000,"['Analysis skills', 'Microsoft Excel', 'E-commerce', 'Business intelligence', 'Data analysis skills', ""Bachelor's degree""]"
Business Systems Analyst,"$60,000 - $90,000 a year",60000 , 90000,"['Project management', 'Analysis skills', 'Power BI', 'Manufacturing', 'SQL', ""Bachelor's degree""]"
Business Systems Analyst,"$60,580 - $80,000 a year",60580 , 80000,"['Project management', ""Driver's License"", 'Software troubleshooting', 'IT', 'Project management methodology', ""Bachelor's degree"", 'High school diploma or GED', ""Associate's degree""]"
Business Technology Analyst,"$61,169 a year",61169,0,"['Relational databases', 'Microsoft Excel', 'ERP systems', 'Application support', 'Software troubleshooting']"
Financial Analyst,"$61,397 - $128,924 a year",61397 , 128924,"['ERP systems', 'Communication skills', ""Bachelor's degree""]"
Business Analyst,"$62,400 - $91,032 a year",62400 , 91032,"['Analysis skills', 'Microsoft Excel', 'CCBA', 'Google Docs', 'Tableau']"
Business Systems Analyst,"$63,107 - $86,108 a year",63107 , 86108,"['Accounting', 'ERP systems', 'OBIEE', 'Oracle', 'Microsoft Office', ""Bachelor's degree""]"
Associate Java Developer,"$63,118 - $87,346 a year",63118 , 87346,[nan]
Sales Analyst,"$64,000 - $74,000 a year",64000 , 74000,"['Power BI', 'Tableau', 'Pivot tables', 'Communication skills', 'Analytics']"
Business Analyst,$65 - $70 an hour,65 , 70,"['Analysis skills', 'Relational databases', 'SQL', 'Payroll', 'ERP systems']"
Business Analyst,"$65,000 - $100,000 a year",65000 , 100000,"['Power BI', 'EDI', 'Customer service', 'ERP systems', 'SSIS', ""Bachelor's degree""]"
